,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23
Ticker,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX
MUFG 8.2 PERP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
VICI 5 5/8 05/01/24,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.1424,98.94208,100.0666,100.2838,98.29517,98.7522,99.37511,99.35852,99.98499
IGT 6 1/2 02/15/25,113.0867,108.4646,88.65161,97.87291,103.8392,102.5198,108.069,109.2501,106.7144,107.1221,110.2494,112.1464,110.5977,110.7527,109.9829,110.8988,111.3567,112.3764,111.8993,111.5576,111.7859,111.4589,108.4504,109.4334,106.8683,105.8372,105.0598,101.7875,102.6255,99.49312,101.9372,99.46251,99.58105,100.1518,100.8297,100.8392,101.0226
CNW 6.7 05/01/34,108.0995,103.4235,85.93971,95.04375,98.64615,102.92,104.1756,107.4158,107.3875,111.5475,115.5619,119.5353,119.6066,117.8684,117.8964,119.6263,119.8202,119.7818,120.7757,120.7733,123.3,125.5519,121.5262,121.732,112.6504,109.2591,103.7486,101.6696,96.00388,95.45195,96.30334,96.68694,92.63134,89.35781,90.42497,89.2912,91.13045
AES 6.35 10/07/2079,104.8474,104.2614,78.77319,94.53534,96.52354,99.8766,99.33804,104.7476,101.5245,100.9798,106.6422,110.6253,109.1994,107.6589,107.1185,106.3616,106.5603,106.8811,105.7157,105.7158,106.0009,104.1662,98.23997,102.1886,101.8549,99.73104,98.42536,95.96658,93.70731,89.24617,88.02431,92.78264,88.90054,80.42782,90.2093,92.10763,94.66544
AAL 5 1/2 04/20/26,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,104.3,105.1435,105.7091,106.3301,104.8359,105.4765,105.2715,105.1654,102.2021,103.8979,102.0611,102.4504,100.4299,99.17443,99.11864,92.0221,98.64532,95.35009,93.90711,95.46221,97.10437,96.38951,98.10558
ACI 3 1/4 03/15/26,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.061,99.16336,98.42725,101.0385,101.9533,100.9507,99.82825,99.4324,100.0687,100.652,101.882,102.6152,103.092,102.1129,101.902,100.2608,102.721,97.77408,96.67645,94.32622,91.77812,94.1616,87.9146,92.95699,90.18641,87.90118,90.10397,91.09051,91.30704,92.58559
MCAIRH 8 3/8 05/01/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AA 4 1/8 03/31/29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,100.8361,102.8556,102.5083,104.0003,105.0501,105.1775,104.6502,104.0895,102.5351,103.2733,100.3352,100.0889,98.16551,94.06018,94.38485,89.88824,94.31522,89.03094,83.82523,85.39137,88.60143,88.18907,91.40067
CPN 3 3/4 03/01/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.60313,97.3438,96.90985,95.33427,95.57395,94.63101,95.56429,96.43307,98.18335,96.77306,96.08295,95.29729,96.69447,91.09236,91.56793,89.63544,84.52338,87.65282,81.29601,88.69209,82.49231,78.40257,81.83521,83.37578,81.00622,83.54819
IGT 4 1/8 04/15/26,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.95,103.253,103.4981,104.4141,104.2517,104.1663,104.0985,103.3033,102.2285,103.064,100.2067,99.16346,98.63941,94.20594,96.7199,90.88575,95.43173,91.5096,91.18859,93.0994,94.40682,93.65079,95.30122
MAT 3 3/8 04/01/26,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,103.1906,103.7997,103.7203,103.7635,104.1822,104.1142,103.5211,103.0103,102.0629,102.7692,99.9037,99.64711,98.15409,97.85242,96.23415,92.65563,94.8856,91.48043,89.70327,91.63828,92.66119,92.52462,93.66989
LNC Float 05/17/66,90.77008,88.91832,60.97262,69.47175,68.6521,67.81499,72.52356,74.65383,71.95894,72.14861,76.62723,78.1721,84.63931,87.03035,86.29478,86.49703,86.89265,88.44124,89.58247,89.38638,87.68304,87.15706,88.74514,81.96771,82.08189,74.88556,82.21748,77.36668,78.07565,66.07018,77.25092,78.85703,72.28528,71.1205,75.76009,76.10074,77.58914
FMGAU 4 1/2 09/15/27,101.6155,99.329,88.2835,93.6745,93.6745,93.6745,93.6745,93.6745,93.6745,107.0875,109.7385,109.324,110.4485,110.0165,106.3155,108.1735,108.6605,108.935,109.008,108.721,107.9705,105.0465,104.0225,105.642,102.927,100.283,97.6135,96.079,95.9735,90.311,91.4425,91.3955,87.73,89.4995,91.9625,93.0375,94.6975
ENLC 5 3/8 06/01/29,90.63064,85.84428,54.20603,61.90603,79.79167,75.32077,79.87915,88.35246,81.28376,85.68864,95.33189,98.35378,97.31164,99.33178,93.71301,100.4179,101.2925,104.2466,104.2302,102.8163,106.0202,103.7266,100.9055,102.7229,100.9885,100.1026,100.4125,97.0944,96.99202,87.95778,95.02509,93.37302,91.55408,92.47588,95.89075,92.64886,96.44968
HLT 4 05/01/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,105.2065,105.7966,103.2615,101.9459,99.97566,101.6228,101.2493,101.0763,102.5777,103.2907,102.4661,100.8119,100.3118,102.0836,98.48266,98.1645,94.64965,89.51019,91.87366,83.10586,90.1664,84.77538,80.40221,83.92386,85.54527,84.1199,87.23608
