,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23
Ticker,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX,MID_PX
MUFG 8.2 PERP,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DAR 5 1/4 04/15/27,106.0572,105.6984,96.90264,100.6393,104.2907,102.7095,106.8614,106.6339,105.3331,106.5412,106.6521,106.355,106.2752,105.845,105.2518,105.5489,105.109,105.2018,104.9843,104.492,104.022,103.598,103.4858,103.3421,102.8745,102.2203,102.2043,100.2523,99.14651,97.49261,100.5136,98.23064,94.32901,96.63966,97.50462,97.75872,97.74031
SWY 7.45 09/15/27,110.9915,109.1536,98.156,106.1178,107.7349,108.4244,110.828,112.4768,112.7628,113.1728,116.5603,118.9277,117.457,116.409,115.7246,116.9484,116.4182,116.631,117.4369,118.4091,117.1471,117.2951,117.0961,116.3609,115.3951,113.7087,109.9,104.5942,102.3317,103.8985,101.5292,101.42,97.96469,100.0805,102.3643,101.9575,103.1068
SAVE 3.8 02/15/26,103.0239,103.2185,91.51401,67.88652,75.47343,71.31897,74.96662,72.13244,72.06393,73.33942,78.29646,79.55012,88.79861,90.91525,94.04375,94.75687,95.49789,97.77538,96.16821,96.5749,96.84322,96.80415,97.11345,95.5868,96.79243,94.14922,92.74715,93.19448,90.5546,88.69433,87.25965,86.7416,83.3388,84.48225,84.4931,84.21986,85.64003
OHNAT 5.55 01/24/30,102.9897,105.0528,107.495,107.495,107.495,95.52868,96.83343,95.84788,94.69014,98.76492,100.6705,104.8557,106.4728,107.1439,108.8263,111.6822,111.9798,113.8688,115.4546,116.5489,115.5816,115.3051,114.4476,114.1377,110.6623,108.0718,103.0622,99.60388,99.32842,95.56961,98.14362,94.95187,92.4483,91.20663,93.49611,93.26994,94.38411
SLM 4.2 10/29/25,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,104.9716,106.2258,106.2935,104.9963,105.1937,105.7505,106.2761,107.7322,108.4168,108.3133,107.4436,105.9065,104.3205,104.9309,102.8932,101.9669,99.17201,97.69212,98.75233,91.36569,97.12404,91.94328,89.61093,93.13251,92.12547,91.04129,93.67343
SBRA 3.2 12/01/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,98.27937,97.60668,97.33898,97.55519,94.99416,93.17023,89.3661,83.77051,82.68555,79.7878,82.38151,79.74702,73.85817,72.26703,75.78412,74.87045,77.14458
DRXLN 6 5/8 11/01/25,106.3201,105.1648,100.1434,104.4177,104.8038,103.3298,104.9041,105.2165,104.7104,105.2099,104.9127,105.1655,104.4443,104.2775,103.7482,103.9356,103.5586,103.4527,103.4807,103.4911,103.4929,103.1167,103.1327,103.3411,102.5248,102.4926,101.5524,100.6753,100.6311,99.98785,99.63521,98.30856,97.00832,93.54387,95.17171,96.08354,97.30128
CDW 5 1/2 12/01/24,111.5542,110.6019,105.0125,107.4189,108.7613,109.2882,112.5873,111.2343,109.9292,110.301,111.3097,111.7998,110.6611,110.2653,109.4299,110.6027,111.9742,111.2591,110.5579,111.0728,110.8895,109.4347,108.9541,109.6022,105.9005,105.0836,103.8323,102.757,102.3829,100.4565,102.2196,102.2654,99.33778,99.13426,100.0962,99.78217,99.97471
ENLK 4.15 06/01/25,92.11208,84.15979,48.48386,62.29439,80.59551,77.33234,80.14537,89.54695,86.08437,87.22404,92.30009,98.19047,97.64059,99.66812,97.32362,100.7887,102.452,104.7244,103.7469,102.9944,103.3324,104.2084,102.4623,104.0068,99.907,101.0929,99.47141,97.39358,100.0818,93.06121,98.64516,97.76207,92.57559,93.96122,96.08103,94.54975,96.72897
CHTR 3 1/2 06/01/41,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,96.77598,94.81704,96.07584,96.09802,100.3563,102.1355,100.863,98.97886,97.99523,97.901,97.41716,90.01014,86.30074,83.8255,73.20097,75.34881,70.35004,73.93244,69.23762,63.91771,63.23178,68.42747,65.5596,70.17017
RUTAPY 0 09/30/36,66.93555,71.58638,59.8184,60.62616,60.87868,60.87868,60.87868,69.9818,71.26231,71.26231,71.26231,71.26231,71.26231,71.26231,70.72242,71.56252,71.63372,72.0914,73.20502,73.15488,73.74216,73.86208,74.18775,73.17336,72.64978,72.64978,72.81617,66.97725,66.91657,59.15233,58.72062,63.92595,61.85839,61.85839,62.18051,63.27421,64.51805
OXY 7 7/8 09/15/31,137.4456,132.6074,54.69566,77.23301,84.47029,95.53362,107.2469,106.5687,96.19989,94.93723,107.4989,110.8652,114.0256,119.2574,118.282,121.121,121.3583,128.1744,129.67,132.453,132.8824,133.5034,130.4719,132.7559,126.4845,123.1887,124.9112,117.4649,121.3078,109.9835,119.9317,114.5578,106.8349,109.19,109.4242,111.0008,112.9801
OXY 4.3 08/15/39,104.0321,95.84292,41.0896,64.55325,59.96178,69.53182,81.37016,77.97574,69.27165,66.57215,83.14117,84.81326,87.21063,89.99543,84.72063,88.76989,87.092,95.5123,99.03429,101.3514,98.45357,100.5021,98.24612,99.44338,94.60874,92.26719,94.69249,85.62009,91.05965,82.23856,84.38057,86.82038,81.61971,82.72311,81.67294,80.75214,81.64833
RWLVCA 4 5/8 04/16/29,106.5576,106.3011,97.74085,89.88229,94.78056,98.19776,99.16142,94.70127,94.13252,90.2128,98.55382,103.0225,102.318,101.5814,100.3122,102.292,102.5509,103.5518,104.8064,103.6062,102.9,101.8909,101.0147,101.6137,96.35316,93.42954,90.67143,87.18149,85.08527,82.27171,82.6396,81.80826,76.55334,73.31401,71.55526,71.43654,81.9172
DOOR 5 3/8 02/01/28,105.6164,105.3492,98.38748,95.67167,101.0344,102.5176,107.7582,107.6283,106.8621,106.3179,106.6134,107.1155,107.2121,105.8374,106.256,106.3502,106.1739,106.528,106.4623,106.2741,105.5241,105.117,104.6233,105.3458,103.3118,102.0348,100.484,95.89013,99.93817,90.87923,97.93536,92.8793,88.21503,91.52678,92.23123,92.49935,93.91282
ALSN 4 3/4 10/01/27,104.1575,102.9907,91.74132,94.33671,98.60932,99.50819,104.8458,104.9445,102.9621,103.5304,105.4732,105.3006,104.8619,103.6643,105.31,105.1514,104.9057,104.3078,104.6138,104.8511,104.2415,104.1577,103.6714,104.0461,102.287,99.71239,99.05922,96.14562,96.0014,94.70802,95.1737,92.70718,88.53056,91.80684,93.90845,92.41521,94.79848
NSANY 1.85 09/16/26,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.19967,97.59153,97.15189,97.66093,95.73387,93.82177,89.74926,86.85139,87.67908,84.08958,86.25673,85.23938,81.64486,78.65507,83.73592,83.69781,86.38676
FCX 4 1/4 03/01/30,#N/A N/A,93.36307,88.26765,94.00448,97.11839,97.43134,105.2392,105.0223,103.2467,104.5583,108.7853,108.2703,108.5383,108.9479,106.8793,107.7282,107.7807,107.176,108.3278,108.1416,106.1402,105.4526,103.2477,105.9262,102.2841,100.9713,100.5387,94.67788,95.24059,91.80336,93.82812,90.38151,85.77797,87.15909,90.53074,91.11446,93.86095
APA 7 3/8 08/15/47,133.3633,131.0591,74.98602,76.11636,83.21214,86.59237,100.4089,99.63809,91.54605,95.16236,108.9129,110.0615,103.8024,106.049,108.4693,113.8373,118.0806,119.2839,120.2911,123.5222,125.9236,126.059,123.6873,125.7602,115.9257,115.6785,112.7458,101.8347,107.2934,98.44224,108.7452,102.799,95.13511,97.82483,102.305,98.72884,101.5587
OXY 4.1 02/15/47,97.6461,88.21679,41.66631,59.65475,59.79361,66.55985,78.35164,75.6731,67.59568,65.44701,78.78569,82.11851,83.04717,85.73392,80.31145,82.88326,81.51561,92.80512,94.78592,97.9218,95.40358,97.88831,95.78116,98.56537,92.05976,91.83673,92.287,84.08789,86.8288,76.91142,80.78534,84.66273,80.16081,79.91679,79.05012,77.70266,79.86063
SUN 5 7/8 03/15/28,106.6468,105.5286,76.99347,95.37374,101.6126,99.68884,104.5573,105.0921,102.8379,103.789,108.0179,108.2562,106.2584,106.0592,105.4716,106.1799,105.3264,106.0622,105.9702,105.7561,105.9591,105.8714,104.4971,106.1856,104.0783,102.193,101.5034,99.90118,100.4739,92.99105,95.93107,94.72667,91.68091,95.31575,97.86547,94.92978,98.59805
FCFS 4 5/8 09/01/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.7524,102.1977,100.9701,103.1433,103.204,103.9319,103.808,102.235,103.4073,103.5808,104.6272,104.2302,104.0721,103.9688,103.3011,99.35642,100.6228,96.05022,94.76583,93.09952,91.14178,91.29696,86.33447,90.5957,87.47885,83.73022,86.8367,89.15694,88.06332,90.09073
COTY 5 04/15/26,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.2022,101.4818,101.2293,101.1571,103.22,102.5043,102.7447,102.0021,103.2351,100.5776,100.4556,97.55917,94.78467,95.06419,92.40321,97.66763,95.06472,91.29396,94.48508,95.91714,95.35839,96.04094
OXY 3 02/15/27,101.9824,99.84082,47.68978,70.84868,70.12071,77.63495,88.45856,86.03376,78.4358,76.32426,87.81944,90.17621,93.7566,94.10178,94.24993,95.87321,95.15523,99.30309,98.98068,100.1805,100.1117,100.0799,96.8255,101.6055,97.04194,97.33007,97.92339,93.5144,95.95388,90.46962,92.48473,93.41454,89.73947,90.44604,91.59649,91.02711,92.63254
NEP 4 1/4 09/15/24,104.095,100.8979,99.31879,101.5788,103.3725,100.7464,107.0894,106.8667,104.0364,104.5731,105.656,107.662,106.857,106.3138,105.673,106.5865,106.2398,105.927,105.726,106.0348,106.1894,106.401,104.5725,104.3194,103.7527,101.6489,101.2983,99.39255,99.79877,96.48154,98.90903,95.35129,95.37014,94.22203,94.85395,93.14224,93.95078
CXT 6.55 11/15/36,131.9173,135.9549,142.4437,127.3514,127.4969,128.3539,129.5514,127.063,131.0572,126.727,127.0662,126.012,125.7747,123.5248,120.5119,136.1522,136.4546,138.2806,141.715,140.3001,137.784,139.5751,140.983,139.2789,135.7012,134.4283,127.6089,120.4346,120.935,118.4417,122.5269,110.465,101.845,100.3506,106.4319,102.6571,112.0661
ST 4 3/8 02/15/30,102.0037,100.6315,90.85635,98.70971,97.48894,98.83897,107.675,105.4835,104.6476,104.748,107.4676,108.1472,108.1106,107.5706,104.9039,104.8763,103.9878,105.4152,107.3244,107.7351,108.1836,105.6462,103.7439,106.4576,100.1749,97.95058,96.09515,90.7431,94.63215,86.16677,93.23235,88.99049,83.28563,86.10136,89.43896,88.38895,90.60046
WRLDPY 7 1/2 01/15/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TXT Float 02/15/42,81.34861,80.51488,56.16897,63.0596,62.5721,62.35992,66.2668,73.98946,71.51571,71.29684,72.47401,72.88058,79.46393,79.51792,79.7207,80.59155,82.59353,84.43967,84.90612,84.64184,86.23638,88.64119,86.21462,85.97772,84.76827,81.27574,78.68317,82.2075,79.44849,72.36118,76.57093,77.66844,73.33321,70.98602,68.75317,72.79174,76.64895
TGNA 7 1/4 09/15/27,116.0727,115.4744,98.39988,99.89706,102.5609,106.7903,109.5063,110.1687,111.1985,111.0418,114.7896,114.9218,114.1245,114.1245,114.1245,114.1245,118.0037,117.4628,118.0175,117.5271,116.4631,116.9725,116.6813,115.5154,114.861,112.6611,111.5421,109.3659,102.5813,101.9995,99.91419,98.70364,95.70036,97.23171,97.21186,94.6981,96.04419
ENLK 4.4 04/01/24,95.8116,91.30143,48.83175,62.69679,82.59773,83.49475,85.25212,92.4184,90.61615,91.06062,96.64574,99.16187,99.15741,100.9416,101.4527,103.5084,103.8402,105.0407,105.4388,104.2483,104.0279,104.5246,102.9954,105.0758,100.9302,101.9927,101.6696,98.86961,100.1767,97.71909,100.284,100.1134,96.83329,95.87698,97.57941,96.74036,98.43468
UAL 3.65 01/07/26,102.9612,103.9978,79.22432,71.84251,65.25373,74.43576,74.02612,75.45248,75.94097,77.40654,88.31429,97.91659,97.97977,98.53703,98.70583,99.0148,99.00515,99.55103,99.47383,99.54451,99.67898,100.0595,100.5639,98.79262,98.61897,97.04985,93.56898,93.9958,93.08212,88.51431,89.48649,89.88558,87.99438,87.51141,90.03626,90.13095,92.32465
CEMEX 3 7/8 07/11/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,100.1539,100.0493,97.22009,98.99674,100.3123,101.43,103.5027,102.9023,100.4961,100.2387,97.48412,99.98064,94.88622,89.29362,91.42921,85.28828,84.45358,75.65378,80.42113,84.09944,79.28324,76.97352,81.82214,84.63344,84.49076
TGNA 4 3/4 03/15/26,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,102.2552,103.1858,106.2674,106.4944,106.296,106.6614,105.9625,106.5517,106.5055,106.7427,106.4989,106.5,104.5277,104.1447,103.1024,104.4125,101.8419,101.2071,100.2612,99.62126,100.136,97.00626,99.22577,98.94163,96.42472,98.46681,98.38699,97.16537,97.57079
TMHC 5 3/4 01/15/28,110.3216,111.0975,96.53367,90.37878,98.96707,104.6772,112.9953,112.2435,109.1423,110.9688,114.1355,113.7898,113.3899,112.116,109.4624,112.1693,111.6598,112.5287,113.2238,112.9017,111.2797,110.1847,109.6166,111.9915,106.7873,104.5169,103.6277,98.21953,98.42583,91.16393,96.07923,91.61327,87.62634,91.89503,94.67771,94.25962,97.15949
ST 5 10/01/25,108.7853,104.2482,95.33409,100.2602,103.7592,107.2132,108.8524,108.5928,108.2678,109.4347,110.6399,111.2198,110.894,110.1067,110.3741,111.4976,111.4112,111.3163,111.7538,111.8345,110.7783,109.3765,108.5772,108.7203,105.7349,103.7156,101.9619,99.48515,100.3358,97.132,100.7947,99.13802,95.74531,98.23267,99.00951,98.35857,99.07529
F 2.15 06/20/24,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.72453,99.85555,100.2448,100.2398,100.2398,100.2421,100.1888,100.1888,100.1888,100.1888,100.1888,100.1888,93.79454,92.96539,95.10963,95.10963,95.10963,93.52801,94.52611,94.84584
VNT 2.95 04/01/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,96.79663,92.78129,88.94987,83.86092,83.60236,80.69254,79.6084,76.75163,72.47652,70.13116,73.08617,72.04322,77.33694
NSANY Float 03/08/24,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,100.0091,99.94441,99.98679,100.1704,100.2008,100.0463,100.1353,100.2092,100.0596,99.92075,99.96738,99.89899,99.76643,99.49409,99.6933,98.43015,98.0604,98.64468,98.79876,98.37449,98.49692,98.87315,98.77365
EMBRBZ 7 07/28/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
HILCRP 6 04/15/30,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,98.63174,97.81613,88.02352,93.36845,91.50984,88.26179,91.44039,93.64653,89.53485,93.42614
BBVASM 5.35 11/12/29,103.9973,105.4479,93.77927,91.60647,95.8425,97.52892,97.54667,99.68357,99.22882,100.4031,103.5814,106.917,105.0293,104.0888,103.1922,104.5704,104.7103,105.9054,106.0963,106.3925,105.3856,105.242,103.5385,104.2864,102.9511,99.4826,99.73769,97.49623,99.23663,94.13856,94.58431,95.9027,93.59974,94.01258,98.10355,97.45213,98.46764
ROCKIE 3.6 05/15/25,100.8845,99.65185,73.35124,90.81779,91.22479,92.50008,97.06929,98.29832,97.97257,100.0117,102.657,103.3623,103.3237,102.5794,100.4046,99.43842,100.9681,101.7631,101.7727,103.2468,103.5387,104.0138,101.4103,103.3559,99.35105,98.12552,98.361,95.11657,97.40851,90.36267,92.69323,91.7326,90.33591,93.12022,94.19189,94.11546,95.24939
PRA 5.3 11/15/23,109.2624,106.8855,102.0944,107.5506,104.6114,104.4828,105.3331,105.6501,106.6342,106.0969,108.5349,107.6642,107.6013,108.6975,108.4423,108.3141,108.2415,107.8179,107.6288,107.8135,107.1947,106.3765,105.6357,105.5996,104.6295,103.458,102.3647,101.5257,102.4823,100.2608,100.7509,100.1031,99.46261,98.9845,99.09473,99.26139,99.64273
AIZ 7 03/27/48,114.7709,115.1068,84.45547,100.1101,100.9858,102.4769,105.3679,109.4382,108.1688,108.0485,111.0266,113.0342,114.6694,113.524,113.3676,114.0625,114.6587,115.7767,117.0036,117.4683,117.8055,116.8047,114.4711,114.9271,114.374,109.2848,105.3499,104.5474,100.0991,98.53316,100.7823,100.9818,97.96323,95.46339,95.7291,97.44226,100.0165
ADT 4 1/8 08/01/29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,100.6588,99.80614,99.8074,99.10006,97.25943,99.12028,94.29268,94.08186,92.78095,85.25578,89.78565,82.05657,89.57787,85.76263,82.29218,86.09484,87.89882,85.46336,89.07777
ROCKIE 4.8 05/15/30,98.83798,96.9599,61.16208,86.88531,93.44201,92.5779,95.57958,98.87099,97.70612,94.08696,97.87244,102.7187,105.4418,104.3611,98.90572,98.70876,99.75154,100.5807,101.8669,103.321,104.8599,106.7248,104.0787,104.3812,100.5251,97.01998,95.00619,91.5217,87.84473,83.32046,84.661,83.31878,82.16943,83.95087,86.07546,87.88589,90.26541
F 5.4 06/20/24,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,98.3532,101.3422,100.4997,98.42047,96.57006,99.39766,98.53712,99.15402
INEGRP 6 3/4 05/15/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
NSANY 2 3/4 03/09/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.25586,100.5913,100.4399,101.0847,102.056,101.9,101.2159,100.0035,99.59928,99.57439,97.33682,95.43549,90.52758,87.07697,86.99585,84.2043,85.22112,83.16769,78.81535,75.60147,80.70196,81.15572,84.29897
STX 4 1/8 01/15/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,104.8629,107.8025,108.1052,107.8359,108.1374,112.4459,106.9809,104.4148,103.8107,101.1917,101.501,100.2486,102.2509,104.876,105.6319,104.0975,102.134,101.0081,104.3395,98.50966,95.38025,94.73971,87.44576,91.82731,82.14531,87.18217,81.71868,74.92483,75.95965,79.78633,78.91337,84.07663
NSANY 2 3/4 03/09/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,99.18218,100.6016,100.4374,101.07,102.1566,101.9169,101.2145,100.023,99.63989,99.57293,97.31847,95.4712,90.44533,86.95793,87.10439,84.14076,85.13087,83.05679,78.67923,75.77211,80.79618,81.04542,84.54693
RWLVCA 4 5/8 04/06/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.4635,101.9219,103.781,105.1587,102.4745,101.0892,99.68768,99.84006,99.77191,95.79802,91.19359,87.88656,84.70457,83.274,80.70157,79.89377,77.39361,72.1769,68.58489,69.96883,66.94452,77.36125
CDW 3.276 12/01/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,101.5151,102.5987,99.52686,97.98244,94.36087,90.06929,91.07597,87.06595,89.33681,88.23889,81.61536,81.84137,85.06514,86.2625,87.6375
MUSA 3 3/4 02/15/31,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,100.569,100.4028,98.48224,98.76546,97.79067,98.89024,99.92909,100.8238,101.2596,98.79034,96.54691,99.27721,94.71063,94.16018,91.71358,87.83616,90.61933,85.35542,91.38217,84.18962,79.91826,83.4533,83.72705,83.44978,84.00155
LLAKES 7.45 03/15/28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,110.0878,111.6142,109.7152,109.7152,109.7152,109.7152,113.5401,113.5401,113.5401,113.5401,113.5401,114.6588,114.8793,115.6242,115.4624,114.9361,114.2634,114.2634,115.5943,112.9735,112.9735,112.9735,112.9735,106.6189,106.3235,106.3235,103.0466,100.3853,98.85281,99.985,97.60625,98.90067
BLD 3 5/8 03/15/29,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,97.93276,99.58614,99.17889,99.20971,99.99857,100.0429,100.9455,100.6135,99.8293,101.0373,96.89861,94.2991,91.25956,87.28362,88.80894,79.45731,90.252,84.09122,78.80529,80.00693,82.38615,81.83981,85.43844
OXY 3.2 08/15/26,103.3654,101.0048,48.66879,72.46294,73.28504,80.80851,91.24382,87.91308,79.45654,77.44134,88.80296,94.14279,94.45003,96.01648,96.05038,97.78288,96.70345,100.9655,99.82003,103.2268,102.1047,101.8564,98.61663,102.9345,98.39975,100.0046,98.3688,94.13462,96.80257,89.49923,92.77602,94.5128,92.85517,93.14977,92.43796,92.318,92.72952
SBRA 3.9 10/15/29,104.2658,105.8768,90.04517,91.05786,85.72388,91.74843,95.10215,96.91582,97.51881,100.5071,103.5999,104.3556,104.6496,103.5687,102.4065,103.4065,104.3875,105.2206,106.8658,107.0266,105.8268,104.873,105.1961,104.742,102.1885,101.0154,96.16379,92.1917,91.39586,88.83965,90.51963,87.34505,81.50633,80.11707,83.21662,83.34145,85.54383
